"015E", "015E", 62.0, 61.0, -62.0, -64.0, null
"015F", "015F", 62.0, 61.0, -60.0, -62.0, null
"015G", "015G", 62.0, 61.0, -58.0, -60.0, null
"015H", "015H", 62.0, 61.0, -56.0, -58.0, null
"015I", "015I", 63.0, 62.0, -56.0, -58.0, null
"015J", "015J", 63.0, 62.0, -58.0, -60.0, null
"015K", "015K", 63.0, 62.0, -60.0, -62.0, null
"015L", "015L", 63.0, 62.0, -62.0, -64.0, null
"015M", "015M", 64.0, 63.0, -62.0, -64.0, null
"015N", "015N", 64.0, 63.0, -60.0, -62.0, null
"015O", "015O", 64.0, 63.0, -58.0, -60.0, null
"015P", "015P", 64.0, 63.0, -56.0, -58.0, null
"016A", "016A", 65.0, 64.0, -56.0, -58.0, null
"016B", "016B", 65.0, 64.0, -58.0, -60.0, null
"016C", "016C", 65.0, 64.0, -60.0, -62.0, null
"016D", "016D", 65.0, 64.0, -62.0, -64.0, null
"016E", "016E", 66.0, 65.0, -62.0, -64.0, null
"016F", "016F", 66.0, 65.0, -60.0, -62.0, null
"016G", "016G", 66.0, 65.0, -58.0, -60.0, null
"016H", "016H", 66.0, 65.0, -56.0, -58.0, null
"016I", "016I", 67.0, 66.0, -56.0, -58.0, null
"016J", "016J", 67.0, 66.0, -58.0, -60.0, null
"016K", "016K", 67.0, 66.0, -60.0, -62.0, null
"016L", "016L", 67.0, 66.0, -62.0, -64.0, null
"016M", "016M", 68.0, 67.0, -62.0, -64.0, null
"016N", "016N", 68.0, 67.0, -60.0, -62.0, null
"016O", "016O", 68.0, 67.0, -58.0, -60.0, null
"016P", "016P", 68.0, 67.0, -56.0, -58.0, null
"017A", "017A", 69.0, 68.0, -56.0, -60.0, null
"017B", "017B", 69.0, 68.0, -60.0, -64.0, null
"017C", "017C", 70.0, 69.0, -60.0, -64.0, null
"017F", "017F", 71.0, 70.0, -60.0, -64.0, null
"017G", "017G", 72.0, 71.0, -60.0, -64.0, null
"018B", "018B", 73.0, 72.0, -60.0, -64.0, null
"020A", "020A", 41.0, 40.0, -64.0, -66.0, null
"020B", "020B", 41.0, 40.0, -66.0, -68.0, null
"020G", "020G", 42.0, 41.0, -66.0, -68.0, null
